Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
16401504259,128704,98906,1,16,2,8,8,16,39,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"mat_mul_transposed_cuda(Matrix3D<__half>, Matrix3D<__half>, Matrix3D<__half>, __half)"
16401634627,5824,98908,2,1,2,16,1,64,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"void unshape_cuda<__half>(Matrix3D<T1>, Matrix3D<T1>, int, int, int)"
16401641859,79872,98910,1,1024,1,32,4,1,32,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"gemv_kernel_g128(const float4 *, const unsigned int *, const unsigned int *, const __half *, __half *, int, int)"
16401723267,3712,98912,4,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"add_half(Matrix3D<__half>, Matrix3D<__half>, Matrix3D<__half>)"
16401728899,13696,98914,1,1,1,512,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"generalT5LayerNorm(const __half *, const float *, __half *, float, int, int)"
16401744099,73472,98916,1,2752,1,32,4,1,32,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"gemv_kernel_g128(const float4 *, const unsigned int *, const unsigned int *, const __half *, __half *, int, int)"
16401819011,71904,98918,1,2752,1,32,4,1,32,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"gemv_kernel_g128(const float4 *, const unsigned int *, const unsigned int *, const __half *, __half *, int, int)"
16401892387,1760,98920,11,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"SiLuMul_half(Matrix3D<__half>, Matrix3D<__half>)"
16401896099,38464,98922,1,1024,1,32,4,1,32,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"gemv_kernel_g128(const float4 *, const unsigned int *, const unsigned int *, const __half *, __half *, int, int)"
16401936035,3296,98924,4,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"add_half(Matrix3D<__half>, Matrix3D<__half>, Matrix3D<__half>)"
16401940707,13440,98926,1,1,1,512,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"generalT5LayerNorm(const __half *, const float *, __half *, float, int, int)"
16401955747,95296,98928,1,3072,1,32,4,1,32,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"gemv_kernel_g128(const float4 *, const unsigned int *, const unsigned int *, const __half *, __half *, int, int)"
16402053283,13184,98930,2,1,2,16,1,64,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"void shape_qkv_cuda<__half>(Matrix3D<T1>, Matrix3D<T1>, Matrix3D<T1>, Matrix3D<T1>, int, int, int)"
16402068131,34752,98932,32,1,1,1,1,1,40,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"RotaryPosEmb_cuda_forward(Matrix3D<__half>, Matrix3D<__half>, Matrix3D<__half>, Matrix3D<__half>, int, int)"
16403054754,119520,99062,1,9,2,8,8,16,39,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"mat_mul_transposed_cuda(Matrix3D<__half>, Matrix3D<__half>, Matrix3D<__half>, __half)"
16403175746,8416,99064,2,1,5,16,4,16,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"batch_Add_cuda(Matrix3D<__half>, Matrix3D<__half>, Matrix3D<__half>)"
16403186370,2816,99066,3,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,check_inf_half(Matrix3D<__half>)
16403190594,13888,99068,1,1,1,64,16,1,40,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"softmax_cuda(Matrix3D<__half>, Matrix3D<__half>)"
16403205954,1034240,99070,4,18,4,8,4,32,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"void transpose_1_2idx_cuda<__half>(Matrix3D<T1>, Matrix3D<T1>)"
16404453794,119712,99072,1,16,2,8,8,16,39,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"mat_mul_transposed_cuda(Matrix3D<__half>, Matrix3D<__half>, Matrix3D<__half>, __half)"
16404576514,5792,99074,2,1,2,16,1,64,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"void unshape_cuda<__half>(Matrix3D<T1>, Matrix3D<T1>, int, int, int)"
16404583778,80128,99076,1,1024,1,32,4,1,32,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"gemv_kernel_g128(const float4 *, const unsigned int *, const unsigned int *, const __half *, __half *, int, int)"
16404665378,3744,99078,4,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"add_half(Matrix3D<__half>, Matrix3D<__half>, Matrix3D<__half>)"
16404670530,13280,99080,1,1,1,512,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"generalT5LayerNorm(const __half *, const float *, __half *, float, int, int)"
16404685858,76416,99082,1,2752,1,32,4,1,32,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"gemv_kernel_g128(const float4 *, const unsigned int *, const unsigned int *, const __half *, __half *, int, int)"
16404763778,90656,99084,1,2752,1,32,4,1,32,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"gemv_kernel_g128(const float4 *, const unsigned int *, const unsigned int *, const __half *, __half *, int, int)"
16404856194,1792,99086,11,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"SiLuMul_half(Matrix3D<__half>, Matrix3D<__half>)"
16404859426,38656,99088,1,1024,1,32,4,1,32,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"gemv_kernel_g128(const float4 *, const unsigned int *, const unsigned int *, const __half *, __half *, int, int)"
16404900034,3296,99090,4,1,1,1024,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"add_half(Matrix3D<__half>, Matrix3D<__half>, Matrix3D<__half>)"
16404904770,14208,99092,1,1,1,512,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"generalT5LayerNorm(const __half *, const float *, __half *, float, int, int)"
16404920642,108896,99094,1,3072,1,32,4,1,32,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"gemv_kernel_g128(const float4 *, const unsigned int *, const unsigned int *, const __half *, __half *, int, int)"
16405031362,13952,99096,2,1,2,16,1,64,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"void shape_qkv_cuda<__half>(Matrix3D<T1>, Matrix3D<T1>, Matrix3D<T1>, Matrix3D<T1>, int, int, int)"
16405047778,37984,99098,32,1,1,1,1,1,40,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"RotaryPosEmb_cuda_forward(Matrix3D<__half>, Matrix3D<__half>, Matrix3D<__half>, Matrix3D<__half>, int, int)"
16406093026,166528,99228,1,9,2,8,8,16,39,0.000,0.000,,,,,NVIDIA GeForce RTX 3090 (0),1,,7,"mat_mul_transposed_cuda(Matrix3D<__half>, Matrix3D<__half>, Matrix3D<__half>, __half)"
